rank,lemma,subtitle_count,band,n_forms_seen
458,bývať,10143,2,16
459,john,10130,2,5
460,niekde,10127,2,1
461,krajina,10108,2,8
462,ľudia,10066,2,3
463,patriť,10059,2,20
464,napísať,10047,2,16
465,predstaviť,10043,2,15
466,trvať,10015,2,12
467,vydržať,10009,2,20
468,päť,10008,2,4
469,kamoš,9959,2,7
470,hm,9916,2,2
471,bezpečný,9891,2,20
472,sen,9885,2,9
473,tím,9866,2,6
474,jednoducho,9849,2,3
475,jesť,9847,2,18
476,plný,9805,2,12
477,chlapík,9791,2,7
478,spýtať,9788,2,17
479,sakra,9771,2,1
480,písať,9757,2,16
481,štyri,9753,2,5
482,byt,9682,2,7
483,sex,9680,2,5
484,silný,9661,2,12
485,dolár,9654,2,6
486,viesť,9640,2,14
487,ďaleko,9635,2,5
488,akoby,9631,2,1
489,pripraviť,9468,2,12
490,treba,9415,2,2
491,svetlo,9371,2,9
492,posteľ,9367,2,6
493,oci,9358,2,1
494,čítať,9353,2,19
495,okrem,9293,2,1
496,uveriť,9254,2,18
497,sadnúť,9248,2,15
498,konečne,9224,2,1
499,možnosť,9220,2,6
500,ticho,9187,2,7
501,odchádzať,9159,2,15
502,minulý,9146,2,7
503,ano,9143,2,1
504,priamo,9125,2,2
505,agent,9114,2,7
506,nemocnica,9098,2,7
507,správny,9084,2,21
508,dlhý,9028,2,12
509,súhlasiť,8999,2,19
510,vadiť,8974,2,6
511,počas,8967,2,1
512,hádať,8906,2,16
513,prežiť,8878,2,19
514,strach,8849,2,4
515,používať,8794,2,21
516,policajt,8784,2,8
517,pokoj,8772,2,6
518,informácia,8768,2,9
519,sekunda,8751,2,8
520,krát,8710,2,1
521,dôkaz,8705,2,7
522,hlúpy,8670,2,12
523,vyjsť,8670,2,19
524,ocko,8649,2,3
525,fotka,8605,2,8
526,priviesť,8581,2,14
527,vrah,8544,2,7
528,pravý,8538,2,12
529,mimo,8529,2,1
530,požiadať,8526,2,15
531,milión,8520,2,8
532,platiť,8482,2,17
533,spomínať,8432,2,17
534,šéf,8408,2,6
535,pravdepodobne,8392,2,1
536,osoba,8362,2,9
537,postaviť,8316,2,15
538,ze,8313,2,1
539,prichádzať,8287,2,13
540,kámo,8277,2,1
541,systém,8222,2,8
542,mrzieť,8145,2,4
543,hodiť,8124,2,17
544,priateľka,8073,2,7
545,právo,8069,2,8
546,jo,8067,2,1
547,ublížiť,8052,2,22
548,sranda,8040,2,3
549,ulica,8016,2,8
550,vysvetliť,7972,2,14
551,piť,7972,2,19
552,odkiaľ,7962,2,1
553,spoločný,7952,2,9
554,napadnúť,7946,2,11
555,mam,7938,2,4
556,kamarát,7935,2,7
557,zvláštny,7912,2,11
558,new,7889,2,1
